"time","address","q_args","isp","country","rdns","user_agent","path"
"2021-06-09 16:44:20","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 16:46:33","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 16:49:34","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 16:55:07","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 16:55:28","109.120.159.11",,"OOO National Telecommunications","Russia","scd","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 16:57:00","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 17:01:36","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 17:02:58","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 17:05:11","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 17:06:02","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 17:07:03","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-09 17:10:24","69.171.251.2",,"FACEBOOK","United States","fwdproxy-ash-002.fbsv.net","facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)",NULL
"2021-06-09 17:43:58","52.51.72.225",,"AMAZON-02","Ireland","ec2-52-51-72-225.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0",NULL
"2021-06-09 17:50:25","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Android 9; Mobile; rv:89.0) Gecko/89.0 Firefox/89.0",NULL
"2021-06-09 17:50:39","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Android 9; Mobile; rv:89.0) Gecko/89.0 Firefox/89.0",NULL
"2021-06-09 18:45:32","66.249.70.61",,"GOOGLE","United States","crawl-66-249-70-61.googlebot.com","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",NULL
"2021-06-09 19:03:27","162.222.195.84",,"ASN-QUADRANET-GLOBAL","United States","162.222.195.84.static.quadranet.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36",NULL
"2021-06-09 19:03:27","162.222.195.84",,"ASN-QUADRANET-GLOBAL","United States","162.222.195.84.static.quadranet.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36",NULL
"2021-06-09 19:03:28","162.222.195.84",,"ASN-QUADRANET-GLOBAL","United States","162.222.195.84.static.quadranet.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36",NULL
"2021-06-09 19:34:33","40.86.103.136",,"MICROSOFT-CORP-MSN-AS-BLOCK","United States","40.86.103.136","Mozilla/5.0 (compatible; hrankbot/1.0; +https://www.hrank.com/bot)",NULL
"2021-06-10 00:30:35","18.130.90.155",,"AMAZON-02","United Kingdom","ec2-18-130-90-155.eu-west-2.compute.amazonaws.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0",NULL
"2021-06-10 01:59:51","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Android 9; Mobile; rv:89.0) Gecko/89.0 Firefox/89.0",NULL
"2021-06-10 02:00:06","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Android 9; Mobile; rv:89.0) Gecko/89.0 Firefox/89.0",NULL
"2021-06-10 02:16:42","40.77.167.29",,"MICROSOFT-CORP-MSN-AS-BLOCK","United States","msnbot-40-77-167-29.search.msn.com","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",NULL
"2021-06-10 02:19:09","34.245.92.71",,"AMAZON-02","Ireland","ec2-34-245-92-71.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36",NULL
"2021-06-10 03:36:30","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 04:48:30","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 05:14:13","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 05:55:25","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:05:55","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:06:30","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:06:39","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:07:06","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:09:52","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:09:55","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:09:57","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:10:00","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:10:02","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:16:33","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:17:41","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:18:57","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:19:06","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:21:54","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:28:47","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:29:05","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:29:08","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 06:30:37","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 09:12:48","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 09:21:05","37.252.89.181",,"Ucom CJSC","Armenia","host-181.89.252.37.ucom.am","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 OPR/75.0.3969.282",NULL
"2021-06-10 09:59:58","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 10:29:49","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-10 15:13:36","52.214.151.224",,"AMAZON-02","Ireland","ec2-52-214-151-224.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36",NULL
"2021-06-10 18:00:47","52.215.43.186",,"AMAZON-02","Ireland","ec2-52-215-43-186.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0",NULL
"2021-06-10 20:59:30","54.36.148.178",,"OVH SAS","France","ip-54-36-148-178.a.ahrefs.com","Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)",NULL
"2021-06-10 23:44:06","138.246.253.24",,"Leibniz-Rechenzentrum","Germany","planetlab24.gino-research.net.in.tum.de","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36",NULL
"2021-06-10 23:54:39","137.226.113.44",,"RWTH Aachen University","Germany","researchscan36.comsys.rwth-aachen.de","Mozilla/5.0 (X11; Linux x86_64; rv:84.0) Gecko/20100101 Firefox/84.0",NULL
"2021-06-11 01:56:53","173.252.79.2",,"FACEBOOK","United States","fwdproxy-vll-002.fbsv.net","facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)",NULL
"2021-06-11 04:28:39","117.145.135.150",,"Guangdong Mobile Communication Co.Ltd.","China","117.145.135.150","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",NULL
"2021-06-11 05:20:21","138.246.253.24",,"Leibniz-Rechenzentrum","Germany","planetlab24.gino-research.net.in.tum.de","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36",NULL
"2021-06-11 09:10:57","35.165.180.31",,"AMAZON-02","United States","ec2-35-165-180-31.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-11 09:11:08","54.201.151.57",,"AMAZON-02","United States","ec2-54-201-151-57.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-11 09:12:40","35.163.253.56",,"AMAZON-02","United States","ec2-35-163-253-56.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-11 10:14:47","144.217.135.188",,"OVH SAS","Canada","crawl-144-217-135-188.dataproviderbot.com","Mozilla/5.0 (compatible; Dataprovider.com)",NULL
"2021-06-11 10:59:50","61.135.15.184",,"China Unicom Beijing Province Network","China","61.135.15.184","Mozilla/5.0 (Linux; U; Android 9; zh-cn; RMX1901 Build/QKQ1.190918.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/70.0.3538.80 Mobile Safari/537.36 HeyTapBrowser/40.7.22.1",NULL
"2021-06-11 14:15:36","220.181.108.172",,"IDC, China Telecommunications Corporation","China","baiduspider-220-181-108-172.crawl.baidu.com","Mozilla/5.0 (Linux;u;Android 4.2.2;zh-cn;) AppleWebKit/534.46 (KHTML,like Gecko) Version/5.1 Mobile Safari/10600.6.3 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",NULL
"2021-06-11 14:57:01","114.119.130.151",,"HUAWEI CLOUDS","Singapore","petalbot-114-119-130-151.petalsearch.com","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)",NULL
"2021-06-11 18:25:14","52.16.74.193",,"AMAZON-02","Ireland","ec2-52-16-74-193.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0",NULL
"2021-06-11 20:25:49","116.179.32.84",,"CHINA UNICOM China169 Backbone","China","baiduspider-116-179-32-84.crawl.baidu.com","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",NULL
"2021-06-11 23:08:42","52.209.183.172",,"AMAZON-02","Ireland","ec2-52-209-183-172.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0",NULL
"2021-06-12 02:14:24","185.213.155.163",,"31173 Services AB","Germany","185.213.155.163","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3355.4 Safari/537.36",NULL
"2021-06-12 04:51:47","54.36.148.178",,"OVH SAS","France","ip-54-36-148-178.a.ahrefs.com","Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)",NULL
"2021-06-12 07:08:42","114.119.141.84",,"HUAWEI CLOUDS","Singapore","petalbot-114-119-141-84.petalsearch.com","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)",NULL
"2021-06-12 09:25:55","54.188.203.236",,"AMAZON-02","United States","ec2-54-188-203-236.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-12 09:48:07","66.249.66.53",,"GOOGLE","United States","crawl-66-249-66-53.googlebot.com","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",NULL
"2021-06-12 14:02:44","31.13.127.6",,"FACEBOOK","Ireland","fwdproxy-cln-006.fbsv.net","facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)",NULL
"2021-06-12 16:55:13","54.191.156.116",,"AMAZON-02","United States","ec2-54-191-156-116.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-12 21:32:24","193.151.189.208",,"Global Layer B.V.","Russia","193.151.189.208","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)",NULL
"2021-06-13 07:15:39","54.36.148.178",,"OVH SAS","France","ip-54-36-148-178.a.ahrefs.com","Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)",NULL
"2021-06-13 08:08:53","54.236.36.127",,"AMAZON-AES","United States","ec2-54-236-36-127.compute-1.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36",NULL
"2021-06-13 08:26:09","77.88.5.156",,"YANDEX LLC","Russia","77-88-5-156.spider.yandex.com","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)",NULL
"2021-06-13 08:50:32","77.88.5.156",,"YANDEX LLC","Russia","77-88-5-156.spider.yandex.com","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)",NULL
"2021-06-13 09:14:16","34.218.254.132",,"AMAZON-02","United States","ec2-34-218-254-132.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-13 09:14:31","18.237.149.64",,"AMAZON-02","United States","ec2-18-237-149-64.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-13 13:47:11","77.88.5.155",,"YANDEX LLC","Russia","77-88-5-155.spider.yandex.com","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)",NULL
"2021-06-13 18:51:19","34.244.20.161",,"AMAZON-02","Ireland","ec2-34-244-20-161.eu-west-1.compute.amazonaws.com","Pandalytics/1.0 (https://domainsbot.com/pandalytics/)",NULL
"2021-06-13 20:52:36","46.183.220.48",,"DataClub S.A.","Belize","ip-220-48.dataclub.info","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C)",NULL
"2021-06-14 03:09:04","18.236.213.241",,"AMAZON-02","United States","ec2-18-236-213-241.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-14 03:12:46","54.191.88.141",,"AMAZON-02","United States","ec2-54-191-88-141.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-14 05:11:45","35.161.227.100",,"AMAZON-02","United States","ec2-35-161-227-100.us-west-2.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",NULL
"2021-06-14 05:12:40","35.161.227.100",,"AMAZON-02","United States","ec2-35-161-227-100.us-west-2.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",NULL
"2021-06-14 05:37:42","141.136.89.17",,"Ucom CJSC","Armenia","host-17.89.136.141.ucom.am","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-14 09:23:37","54.184.102.147",,"AMAZON-02","United States","ec2-54-184-102-147.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-14 09:25:39","54.70.252.101",,"AMAZON-02","United States","ec2-54-70-252-101.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-14 09:40:24","34.210.86.188",,"AMAZON-02","United States","ec2-34-210-86-188.us-west-2.compute.amazonaws.com","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",NULL
"2021-06-14 14:33:14","54.36.148.178",,"OVH SAS","France","ip-54-36-148-178.a.ahrefs.com","Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)",NULL
"2021-06-14 15:31:00","141.136.89.195",,"Ucom CJSC","Armenia","host-195.89.136.141.ucom.am","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 192.0.0.37.119 (iPhone11,8; iOS 14_6; ru_RU; ru-RU; scale=2.00; 828x1792; 298025452)",NULL
"2021-06-14 17:18:56","34.245.235.68",,"AMAZON-02","Ireland","ec2-34-245-235-68.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0",NULL
"2021-06-14 17:44:38","66.249.66.53",,"GOOGLE","United States","crawl-66-249-66-53.googlebot.com","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.90 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",NULL
"2021-06-14 20:16:11","34.248.112.155",,"AMAZON-02","Ireland","ec2-34-248-112-155.eu-west-1.compute.amazonaws.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0",NULL
"2021-06-15 04:04:16","94.23.6.220",,"OVH SAS","France","ns366598.ip-94-23-6.eu","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36",NULL
"2021-06-15 13:36:14","127.0.0.1",,,,"localhost","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
"2021-06-15 13:36:43","127.0.0.1",,,,"localhost","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0",NULL
